titulo,year,accion,comedia,romance,duracion,rating
Reto 095: Noche en Malibú,2001,9,6,2,81,9.9
Reto 100: El regreso de Casa Azul,2006,3,5,1,73,8.5
Reto 008: El misterio de Polar,1999,8,1,2,89,9.9
Reto 013: El regreso de Sofá,2011,1,5,8,107,9.1
Reto 084: Noche en Polar,2012,2,10,1,125,8.6
Reto 003: Noche en los Esquimales,2000,1,9,1,70,9.3
Reto 017: La aventura de los Robots,2021,7,8,3,70,9.7
Reto 038: Viaje a los Robots,1974,3,9,7,141,9.9
Reto 117: Noche en Arcadia,1980,10,5,10,115,9.9
Reto 006: La aventura de Malibú,1999,3,2,4,142,7.2
Reto 077: El misterio de la Isla,1991,3,8,5,94,9.9
Reto 111: El misterio de los Esquimales,1994,4,1,8,129,7.3
Reto 094: La aventura de los Robots,2023,9,7,1,77,9.9
Reto 054: El misterio de Neptuno,1993,9,2,6,100,9.9
Reto 050: El regreso de Arcadia,1994,5,10,6,118,9.9
Reto 080: El misterio de los Robots,1988,6,2,5,110,9.9
Reto 046: El misterio de Arcadia,1973,3,1,10,137,9.3
Reto 081: Viaje a la Galaxia,1970,1,10,2,132,9.9
Reto 061: Noche en la Galaxia,1976,10,5,4,98,9.9
Reto 116: Noche en los Gemelos,1987,6,8,1,96,8.9
Reto 079: Noche en la Galaxia,2005,7,3,3,134,9.9
Reto 093: Noche en Sofá,2025,4,3,3,70,9.3
Reto 041: El misterio de la Galaxia,1988,9,2,7,97,9.5
Reto 058: El regreso de los Gemelos,1983,1,2,5,98,7.8
Reto 048: La aventura de Neptuno,2020,3,1,2,115,8.2
Reto 101: La aventura de Casa Azul,1977,10,6,10,70,9.9
Reto 057: La aventura de Polar,1978,2,8,3,102,7.5
Reto 075: La aventura de Arcadia,2009,3,10,6,124,9.9
Reto 032: Viaje a Casa Azul,1973,8,3,8,122,9.9
Reto 112: Noche en los Esquimales,1996,7,7,6,83,9.9
Reto 059: El regreso de la Isla,2003,6,3,3,70,7.7
Reto 063: Viaje a Malibú,1990,8,5,8,144,9.9
Reto 105: El regreso de Terraza,1991,6,1,9,70,9.9
Reto 037: La aventura de Arcadia,1973,4,5,9,83,9.7
Reto 029: Noche en los Robots,1997,3,2,3,140,9.3
Reto 115: El misterio de Malibú,1978,6,9,10,70,9.6
Reto 001: El regreso de los Robots,2014,3,2,7,74,9.8
Reto 052: El regreso de la Galaxia,2009,6,6,8,84,9.9
Reto 021: La aventura de los Esquimales,1999,5,5,8,105,9.9
Reto 002: La aventura de Sofá,1989,5,7,7,99,9.9
Reto 023: Noche en Casa Azul,2014,6,1,9,110,9.3
Reto 103: Viaje a Arcadia,1995,7,2,7,77,8.1
Reto 099: El regreso de los Robots,2025,8,3,3,95,9.9
Reto 087: Noche en los Robots,1979,7,8,9,146,9.9
Reto 108: El regreso de Arcadia,2016,6,8,10,115,9.9
Reto 074: Noche en Neptuno,1978,5,9,1,105,9.7
Reto 086: El regreso de Malibú,1996,7,10,10,105,9.9
Reto 082: El misterio de Sofá,2007,3,6,1,113,8.2
Reto 119: Viaje a Casa Azul,2020,10,7,8,101,9.9
Reto 020: Noche en Neptuno,2011,6,1,2,88,9.3
Reto 060: Noche en Neptuno,2007,10,3,2,80,9.9
Reto 071: La aventura de los Gemelos,1987,1,9,5,70,9.5
Reto 106: La aventura de Terraza,1988,1,9,1,84,7.2
Reto 014: Noche en los Robots,2001,4,6,8,108,9.7
Reto 092: El misterio de Arcadia,2021,8,2,10,98,9.1
Reto 051: El regreso de Polar,2016,6,1,8,105,8.8
Reto 102: Viaje a los Esquimales,1998,4,7,1,102,8.7
